function	CV1	CV2	CV3	CV4	CV5	GF1	GF2	GF3	GF4	GF5	GF6
RXN1G-440	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-445	35.0	67.0	12.0	55.5	11.67	0.0	5.0	45.0	0.0	0.4	4.3
RXN1G-460	35.0	67.0	12.0	55.5	11.67	0.0	5.0	45.0	0.0	0.4	4.3
RXN1G-464	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-468	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-469	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-471	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-481	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-488	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-499	35.0	67.0	12.0	55.5	11.67	0.0	5.0	45.0	0.0	0.4	4.3
RXN1G-508	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-509	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-517	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-526	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-53	0.0	1.0	0.0	1.0	0.67	0.0	2.0	27.0	0.0	0.2	2.4
RXN1G-554	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-557	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-580	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-582	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-607	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-613	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-617	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-637	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-645	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-648	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-660	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-674	0.0	1.0	0.0	1.0	0.67	0.0	2.0	27.0	0.0	0.2	2.4
RXN1G-679	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-686	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-717	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-72	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-760	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-79	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-818	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-820	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-840	35.0	67.0	12.0	55.5	11.67	0.0	5.0	45.0	0.0	0.4	4.3
RXN1G-853	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0
RXN1G-881	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-883	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-884	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-89	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-912	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-915	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-94	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
